__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 29, "total_folds": 5, "current_fold": 4, "phase": "tune-trial-6/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 3, "progress_text": "[#-----------------] 29/1005   3%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 30, "total_folds": 5, "current_fold": 4, "phase": "tune-trial-6/200", "status": "running", "detail": "mse=213.1892", "event": "fold-done", "progress_pct": 3, "progress_text": "[#-----------------] 30/1005   3%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 30, "total_folds": 5, "current_fold": 0, "phase": "tune-trial-7/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 3, "progress_text": "[#-----------------] 30/1005   3%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 31, "total_folds": 5, "current_fold": 0, "phase": "tune-trial-7/200", "status": "running", "detail": "mse=333.7367", "event": "fold-done", "progress_pct": 3, "progress_text": "[#-----------------] 31/1005   3%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 31, "total_folds": 5, "current_fold": 1, "phase": "tune-trial-7/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 3, "progress_text": "[#-----------------] 31/1005   3%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 32, "total_folds": 5, "current_fold": 1, "phase": "tune-trial-7/200", "status": "running", "detail": "mse=105.2188", "event": "fold-done", "progress_pct": 3, "progress_text": "[#-----------------] 32/1005   3%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 32, "total_folds": 5, "current_fold": 2, "phase": "tune-trial-7/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 3, "progress_text": "[#-----------------] 32/1005   3%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 33, "total_folds": 5, "current_fold": 2, "phase": "tune-trial-7/200", "status": "running", "detail": "mse=107.9968", "event": "fold-done", "progress_pct": 3, "progress_text": "[#-----------------] 33/1005   3%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 33, "total_folds": 5, "current_fold": 3, "phase": "tune-trial-7/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 3, "progress_text": "[#-----------------] 33/1005   3%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 34, "total_folds": 5, "current_fold": 3, "phase": "tune-trial-7/200", "status": "running", "detail": "mse=21.7824", "event": "fold-done", "progress_pct": 3, "progress_text": "[#-----------------] 34/1005   3%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 34, "total_folds": 5, "current_fold": 4, "phase": "tune-trial-7/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 3, "progress_text": "[#-----------------] 34/1005   3%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 35, "total_folds": 5, "current_fold": 4, "phase": "tune-trial-7/200", "status": "running", "detail": "mse=328.5054", "event": "fold-done", "progress_pct": 3, "progress_text": "[#-----------------] 35/1005   3%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 35, "total_folds": 5, "current_fold": 0, "phase": "tune-trial-8/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 3, "progress_text": "[#-----------------] 35/1005   3%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 36, "total_folds": 5, "current_fold": 0, "phase": "tune-trial-8/200", "status": "running", "detail": "mse=25.2023", "event": "fold-done", "progress_pct": 4, "progress_text": "[#-----------------] 36/1005   4%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 36, "total_folds": 5, "current_fold": 1, "phase": "tune-trial-8/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 4, "progress_text": "[#-----------------] 36/1005   4%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 37, "total_folds": 5, "current_fold": 1, "phase": "tune-trial-8/200", "status": "running", "detail": "mse=13.8922", "event": "fold-done", "progress_pct": 4, "progress_text": "[#-----------------] 37/1005   4%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 37, "total_folds": 5, "current_fold": 2, "phase": "tune-trial-8/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 4, "progress_text": "[#-----------------] 37/1005   4%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 38, "total_folds": 5, "current_fold": 2, "phase": "tune-trial-8/200", "status": "running", "detail": "mse=29.4272", "event": "fold-done", "progress_pct": 4, "progress_text": "[#-----------------] 38/1005   4%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 38, "total_folds": 5, "current_fold": 3, "phase": "tune-trial-8/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 4, "progress_text": "[#-----------------] 38/1005   4%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 39, "total_folds": 5, "current_fold": 3, "phase": "tune-trial-8/200", "status": "running", "detail": "mse=10.9755", "event": "fold-done", "progress_pct": 4, "progress_text": "[#-----------------] 39/1005   4%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 39, "total_folds": 5, "current_fold": 4, "phase": "tune-trial-8/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 4, "progress_text": "[#-----------------] 39/1005   4%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 40, "total_folds": 5, "current_fold": 4, "phase": "tune-trial-8/200", "status": "running", "detail": "mse=233.7747", "event": "fold-done", "progress_pct": 4, "progress_text": "[#-----------------] 40/1005   4%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 40, "total_folds": 5, "current_fold": 0, "phase": "tune-trial-9/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 4, "progress_text": "[#-----------------] 40/1005   4%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 41, "total_folds": 5, "current_fold": 0, "phase": "tune-trial-9/200", "status": "running", "detail": "mse=21.4291", "event": "fold-done", "progress_pct": 4, "progress_text": "[#-----------------] 41/1005   4%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 41, "total_folds": 5, "current_fold": 1, "phase": "tune-trial-9/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 4, "progress_text": "[#-----------------] 41/1005   4%"}
